id.presentacion;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.
15;Alimentos y bebidas;Arroz blanco;Blue Patna;Bolsa 1 kg.;394;42;50;72;75,076;86;89;7,364445369;12;75,599;-0,007;0,0981
16;Alimentos y bebidas;Arroz blanco;Green Chef;Bolsa 1 kg.;394;47;56,9;75;73,769;84;84,98;5,663150633;10;74,319;-0,007;0,0768
17;Alimentos y bebidas;Arroz blanco;Saman Blanco;Bolsa 1 kg.;442;50;59;82;79,969;89;92,59;6,421118015;9;79,863;0,001;0,0803
18;Alimentos y bebidas;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;265;29;38;49;50,724;63;66;5,073001864;6;49,196;0,031;0,1
19;Alimentos y bebidas;Arroz blanco;Pony;Bolsa 1 kg.;63;24;24;36;38,577;59;59;6,909183183;5;38,577;0;0,1791
20;Alimentos y bebidas;Arroz blanco;Vidarroz;Bolsa 1 kg.;237;21;21;54;48,943;60;60;11,12548567;16;49,84;-0,018;0,2273
22;Alimentos y bebidas;Arvejas en conserva;Cololó;Lata 380 grs.;365;24;34;48;46,731;58;60;5,480474248;6,45;50,514;-0,075;0,1173
23;Alimentos y bebidas;Arvejas en conserva;Nidemar;Lata 300 grs.;164;19;22;30;30,189;32,06;49;2,420051582;2;30,918;-0,024;0,0802
24;Alimentos y bebidas;Azúcar blanco;Azucarlito;Paquete 1 kg.;382;27;27;55;54,785;66;69;5,546893122;0,1;55,669;-0,016;0,1012
25;Alimentos y bebidas;Azúcar blanco;Bella Unión;Paquete 1 kg.;394;49;49;55;54,653;65;69;2,318617282;2;54,677;0;0,0424
26;Alimentos y bebidas;Café envasado (no instantáneo);Águila;Paquete 250 grs.;425;195;210;306;304,535;369;382;20,92535276;4;278,322;0,094;0,0687
27;Alimentos y bebidas;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;428;159;234;349;333,994;423;457;49,28032574;60;327,528;0,02;0,1475
28;Alimentos y bebidas;Café envasado (no instantáneo);Saint;Paquete 250 grs.;176;109,9;109,9;199;171,552;232;233,34;47,66469689;89,1;212,89;-0,194;0,2778
29;Alimentos y bebidas;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;216;199;320;418,98;400,163;478;549;41,78875259;79;392,71;0,019;0,1044
30;Alimentos y bebidas;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;190;199;219;309;310,478;389;399;26,03376364;19;308,79;0,005;0,0839
31;Alimentos y bebidas;Cerveza;Patricia;Botella 960 ml.;421;120;140;177;174,693;183;195;9,122732661;0;172,052;0,015;0,0522
32;Alimentos y bebidas;Cerveza;Pilsen;Botella 960 ml.;398;108;127;155;146,636;159;179;11,62327981;25;144,089;0,018;0,0793
33;Alimentos y bebidas;Cerveza;Zillertal;Botella 1 lt.;420;128;175;199;196,407;200;217;6,805561594;2;192,927;0,018;0,0347
34;Cuidado personal;Champú;Fructis;Envase 350 ml.;568;175;227;345;325,064;400;425;43,84756653;71,41;325,452;-0,001;0,1349
35;Cuidado personal;Champú;Sedal;Envase 350 ml.;204;111;175;227;222,597;256;256;18,54347072;19;222,597;0;0,0833
36;Cuidado personal;Champú;Suave;Envase 930 ml.;351;124;134;173;176,493;231;244;18,47561518;24;175,422;0,006;0,1047
37;Alimentos y bebidas;Chorizos mezcla;sueltos - Cattivelli  - Extra;1 kg.;187;274;452;648;611,392;685;755;55,76025539;99;600,682;0,018;0,0912
38;Alimentos y bebidas;Chorizos mezcla;sueltos - Centenario - Extra;1 kg.;185;329;480,4;649;637,142;734;780;56,67589908;57,13;619,577;0,028;0,089
39;Alimentos y bebidas;Chorizos mezcla;sueltos - La Familia - Hilo amarillo;1 kg.;107;299;326,39;435;422,889;454;454;36,13655505;0;422,82;0;0,0855
40;Alimentos y bebidas;Cocoa;Copacabana;Envase 500 grs.;457;195;223;306;290,489;364,71;401;39,18761718;71;284,628;0,021;0,1349
41;Alimentos y bebidas;Cocoa;Vascolet;Envase 500 grs.;401;100;100;270,655;274,775;338;347;40,87151226;59,5;268,117;0,025;0,1487
42;Cuidado personal;Desodorante en aerosol;Axe Musk;Envase 113 grs.;621;143;159,2;194;192,933;236;243;15,50255696;13;193,322;-0,002;0,0804
