id.presentacion;Producto;Marca;Especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM.Ant;Var.mens;C.V.;;
152;Yogur;Calcar;Sachet 1 lt.;268;69;74,9;89;89,39;99;101;5,325321355;2,9;89,36;0,00035;0,059573159;;
153;Yogur;Conaprole BIO TOP;Sachet1,200 lt.;377;69;74;92;88,48;107;111;10,78132408;21;91,07;-0,02847;0,121854866;;
154;Yogur;Parmalat Bio Yogur;Sachet 1 lt.;218;68;72;89,9;92,83;103;108;6,039094829;5,9;92,83;-0,00002;0,065056641;;
262;Zapallo Calabacín;NA;1 kg.;119;40;40;59;50,27;79;82;13,00253526;20;55,79;-0,09903;0,25867859;;
264;Zapallo Criollo;NA;1 kg.;39;40;40;69;61,44;80;80;12,6582783;24;61,33;0,00186;0,206011763;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
