id.presentacion;Producto;Marca;Especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM.Ant;Var.mens;C.V.;;;;
41;Cocoa;Vascolet;Envase 500 grs.;297;154,9;169;200;205,59;284;294;19,52853698;28;210,05;-0,0212;0,094989348;;;;
42;Desodorante en aerosol;Axe Musk;Envase 113 grs.;510;149;159;194;186,62;215;235;12,99294832;15;185,79;0,0045;0,069623122;;;;
43;Desodorante en aerosol;Dove Original;Envase 100 grs.;379;147;159;236;224,50;266;277;22,57562381;10;219,87;0,0211;0,100560138;;;;
44;Desodorante en aerosol;Rexona Active Emotion;Envase 105 grs.;315;167,9;175;209;208,75;246;258;10,64625298;3;201,62;0,0354;0,051000177;;;;
45;Detergente para vajilla;Deterjane limón;Envase 1.250 lt.;302;99;110;131;129,84;154;157;8,244944524;11;129,29;0,0043;0,063499373;;;;
46;Detergente para vajilla;Hurra Nevex Limón;Envase 1.250 lt.;469;105;115;132;131,34;169,83;169,83;9,605127344;7;131,56;-0,0016;0,073130238;;;;
47;Detergente para vajilla;Protergente limón;Envase 1 lt.;311;50;57;65;67,46;83;85;6,075624983;3,1;66,67;0,0118;0,090068915;;;;
48;Dulce de leche;Conaprole;Envase 1 kg.;331;228;228;259;258,02;295;296;16,36159232;15;258,26;-0,0009;0,063413043;;;;
49;Dulce de leche;Los Nietitos;Envase 1 kg.;277;149;159,9;189;199,78;260;271;24,06921273;37;207,39;-0,0367;0,120478016;;;;
50;Dulce de leche;Manjar;Envase 1 kg.;358;150;169;193;195,23;226;238;10,77605397;12;194,87;0,0018;0,05519789;;;;
51;Dulce de membrillo;Los Nietitos;Envase 400 grs.;236;60;60;73;73,56;85;86;4,493534552;4,9;71,64;0,027;0,061082957;;;;
52;Fideos secos al huevo;Adria;Paquete 500 grs.;289;72;78,9;91;91,03;102;106,5;3,752036073;3;91,08;-0,0006;0,041218074;;;;
53;Fideos secos al huevo;Cololó;Paquete 500 grs.;268;62,9;68;76;76,43;85;89;4,477230226;4;77,11;-0,009;0,058582224;;;;
54;Fideos secos al huevo;Las Acacias;Paquete 500 grs.;342;59;60;80;80,51;97;101;6,867442249;4;80,47;0,0005;0,085298907;;;;
55;Fideos secos semolados;Adria;Paquete 500 grs.;142;51;52;66;63,65;95;95;9,004936295;16;63,65;0;0,14147953;;;;
56;Fideos secos semolados;Las Acacias - franja celeste;Paquete 500 grs.;166;52;52;59;58,65;79;79;5,277544654;9;58,19;0,008;0,089978154;;;;
58;Frankfurters cortos;Centenario;Paquete 8 us.;127;152;152;199;200,43;260;260;22,89137871;7,5;200,43;0;0,114210487;;;;
59;Frankfurters cortos;Ottonello;Paquete 8 us.;283;149;154;179;178,67;209;220;9,151034439;7;179,28;-0,0034;0,051217071;;;;
60;Frankfurters cortos;Schneck;Paquete 8 us.;289;160;185;229;228,92;263;276;17,9870576;15,8;231,70;-0,012;0,078573745;;;;
61;Galletitas al agua;Famosa;Paquete 140 grs.;423;47;49;70;68,15;79;80;6,27768601;10;67,27;0,0131;0,092116783;;;;
62;Galletitas al agua;Maestro Cubano;Paquete 120 grs.;71;39;39;40;40,18;46;46;1,491781745;1;40,18;0;0,037124607;;;;
63;Gaseosa tipo cola (env. no ret.);Coca Cola;Botella 1,5 lt.;484;112;114;142;145,16;159;167;10,07960627;17;141,97;0,0224;0,06944026;;;;
64;Gaseosa tipo cola (env. no ret.);Coca Cola_;Botella 2,25.lt.;401;127;139;184;180,80;194;213;13,66449906;19;176,65;0,0235;0,075577401;;;;
66;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 2 lt.;342;120;127;159;158,21;169;171;7,323761807;2;155,76;0,0157;0,046290398;;;;
67;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 1,5 lt.;347;104,9;109;113;116,50;139;139;6,725977477;10;116,78;-0,0024;0,057735948;;;;
68;Hamburguesas carne vacun;Burgy;Paquete 3 unidades;263;31;31;35;36,42;45;48;3,250502389;4,1;36,45;-0,0008;0,089247179;;;;
69;Hamburguesas carne vacun;Paty;Paquete2 unidades;142;50;51,2;85;80,45;109;109;16,33571467;31,9;86,44;-0,0693;0,2030615;;;;
70;Hamburguesas carne vacun;Schneck;Paquete2 unidades;353;67;69,9;79;81,80;97;97;4,942309365;6;81,63;0,002;0,060422438;;;;
71;Harina de maíz;Gourmet;Paquete 450 grs.;74;28;28;34;34,86;45;45;4,62987033;9,39;34,99;-0,0036;0,132802451;;;;
72;Harina de maíz;Presto Pronta Arcor;Paquete 500 grs.;272;39;44,9;52;53,36;73;83;5,717305;7;54,60;-0,0227;0,107150279;;;;
73;Harina de maíz;Puritas;Paquete 450 grs.;335;35;35;42;40,06;46;55;2,926645099;5;40,01;0,0012;0,073059026;;;;
74;Harina trigo común 000;Cañuelas;Paquete 1 kg.;378;40;41,9;53;56,25;67;73;5,603963042;9;53,74;0,0466;0,09963504;;;;
75;Harina trigo común 000;Cololó;Paquete 1 kg.;120;42;42;57;58,82;66;66;5,667904741;8;59,50;-0,0114;0,096357144;;;;
76;Harina trigo común 0000;Cañuelas;Paquete 1 kg.;420;48;49;64;62,23;75;83;4,954869406;2;62,84;-0,0096;0,079617142;;;;
77;Harina trigo común 0000;Cololó;Paquete 1 kg.;263;47;49;68;65,25;75;77;7,217883842;4;67,22;-0,0293;0,110619942;;;;
78;Harina trigo común 0000;Primor;Paquete 1 kg.;161;48;49;60;56,31;69;70;4,585823251;8;58,27;-0,0336;0,08143465;;;;
79;Helado familiar;Conaprole;Envase 1lt.;352;239;239;279,9;277,67;310;314;13,56034444;10;273,05;0,0169;0,04883683;;;;
80;Helado familiar;Crufi;Envase 1lt.;200;229;229;259;262,79;324;331;29,2251311;64;260,62;0,0083;0,111210574;;;;
82;Hipoclorito de sodio;Agua Jane;Botella 1 lt.;499;65;69;79;82,51;106;106;7,303996121;8;81,31;0,0147;0,088524523;;;;
83;Hipoclorito de sodio;Sello Rojo;Botella 1 lt.;495;59;62;74;75,44;96;99;7,998160477;12;75,06;0,0051;0,106020551;;;;
84;Hipoclorito de sodio;Solución Cristal;Botella 1 lt.;353;46,9;49;73;68,14;83;84;10,18846997;14;67,59;0,0081;0,14953168;;;;
85;Huevos colorados;El Jefe;Envase 1/2 docena;99;93,64;93,64;109;110,30;132;138;6,112046265;3;109,22;0,0099;0,055415141;;;;
86;Huevos colorados;Prodhin;Envase 1/2 docena;207;99;103;109,9;110,66;126,18;133;4,963122484;3;109,85;0,0074;0,044850288;;;;
87;Huevos colorados;Super huevo;Envase 1/2 docena;210;89;89;107;106,34;122;122;7,292204931;10,9;105,48;0,0081;0,068577257;;;;
88;Jabón de tocador;Astral plata;Unidad 125 grs.;560;41;44;72;69,24;88;90;9,087050313;9;69,47;-0,0034;0,131245713;;;;
89;Jabón de tocador;Palmolive;Unidad 125 grs.;196;29;29;39;39,70;56;56;9,973690263;20,1;40,03;-0,0084;0,251258367;;;;
90;Jabón de tocador;Rexona;Unidad 125 grs.;267;41;42;63;59,97;77;78;7,990717665;12,1;60,49;-0,0086;0,133240859;;;;
91;Jabón en polvo máquina;Drive;Paquete 800 grs.;115;128,9;129;149;147,43;178,53;178,53;13,59710061;21;147,30;0,0009;0,092226059;;;;
92;Jabón en polvo máquina;Nevex;Paquete 800 grs.;490;149;159;192;189,96;229,57;239;15,06266989;20;190,50;-0,0028;0,079293789;;;;
93;Jabón en polvo máquina;Skip - Paquete azul;Paquete 800 grs.;454;130,9;139;151;149,75;183;191;9,208262065;14;149,68;0,0005;0,061491165;;;;
94;Jabón para ropa en barra;Bull Dog;Unidad 300 grs.;324;41;42;82;74,08;98;105;14,91164142;3;73,49;0,008;0,201304227;;;;
95;Jabón para ropa en barra;Nevex;Unidad 200 grs.;305;35;35;55;54,54;66,08;67;4,146665808;3;54,27;0,005;0,076028874;;;;
96;Jabón para ropa en barra;Primor;Unidad 200 grs.;326;33;33;35;36,85;49;49;3,032783412;4;36,67;0,0049;0,082300306;;;;
97;Jamón cocido no artesanal;Cattivelli;1 kg.;30;550;550;610;618,03;890;890;66,56529438;70;622,77;-0,0076;0,107705681;;;;
98;Jamón cocido no artesanal;Ottonello;1 kg.;135;520;520;640;642,72;750;750;33,74084166;10;636,09;0,0104;0,052497119;;;;
101;Leonesa;Schneck;1 kg.;144;450;460;530;535,75;610;610;24,20985411;10;536,32;-0,0011;0,045189119;;;;
102;Manteca;Calcar;Envase 200 grs.;21;61;61;68;66,59;69,9;83;2,906474754;5;66,59;0;0,043647316;;;;
103;Manteca;Conaprole sin sal;Envase 200 grs.;438;79;92,9;103;103,84;113;115;7,48056423;16;103,78;0,0005;0,072042043;;;;
104;Manteca;Kasdorf;Envase 200 grs.;270;81;88;97;97,70;105;107;3,690272648;3;97,67;0,0003;0,037772176;;;;
105;Margarina;Doriana nueva;Envase 250 grs.;94;70;71;82;85,97;120;120;12,23309331;18;85,97;0;0,142294557;;;;
109;Mayonesa común;Hellmans;Envase 500 grs.;351;99;99;139;150,55;203;227;23,14631925;30;148,32;0,0151;0,153740763;;;;
110;Mayonesa común;Uruguay;Envase 500 grs.;306;69;69;83;86,25;117;119;12,38727045;19;88,77;-0,0284;0,143617401;;;;
112;Mermelada de durazno;El Hogar;Envase 500 grs.;129;69;69;89;87,94;149;149;19,12228478;21;87,94;0;0,217434683;;;;
113;Mermelada de durazno;Los Nietitos;Envase 500 grs.;274;99;99;119,9;120,29;146;153;7,253164932;5;116,72;0,0306;0,060298122;;;;
114;Nalga vacuna;Con Hueso - Sin Marca;1 kg.;26;279;279;404;378,23;469;469;52,07643305;76;375,78;0,0065;0,137684262;;;;
115;Nalga vacuna;Sin Hueso - Sin Marca;1 kg.;124;289;289;309;342,33;449;469;53,99291359;72;375,87;-0,0892;0,157721492;;;;
116;Paleta vacuna;Con Hueso - Sin Marca;1 kg.;150;219;239;285;293,87;369;373;31,14508922;30;283,02;0,0383;0,105981383;;;;
