id.presentacion;Producto;Marca;Especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM.Ant;Var.mens;C.V.
132;Pollo entero fresco con menudos;Tres Arroyos;1 kg.;33;129;129;199;182,33;229;229;29,3908264;47;183,71;-0,007548;0,161198609
352;Protector solar SPF 20;Dermaglós;250 ml.;223;760;760;864;976,29;1356;1356;211,7776447;173,654;976,29;0;0,216919971
354;Protector solar SPF 30;Hawaiian Tropic;180 ml.;233;893;942;942;967,14;1037;1157;30,80442856;0;966,40;0;0,03185115
353;Protector solar SPF 40;Dermaglós;250 ml.;214;696;835;952;1070,29;1493;1493;238,1707332;0;1070,29;0;0,222529217
355;Protector solar SPF 50;Eucerin;150 ml;181;1449;1474;1749;1741,92;2105;2105;88,43848393;0;1780,78;-0,02182;0,050770599
356;Protector solar SPF 60;Soundown;120 ml.;424;535;549;765;794,95;996,279;1000;88,31131361;19;795,07;-0,000153;0,111090191
357;Protector solar SPF 80;Hawaiian Tropic;240 ml.;354;909;919;942;959,97;1180;1180;39,47660048;3;958,48;0,001549;0,041122925
133;Pulpa de tomate;Conaprole;Envase 1 lt.;484;79;81;97;96,34;116;124;6,372055789;4;94,42;0,020372;0,06613919
134;Pulpa de tomate;De Ley;Envase 1,020 lt.;324;58;62;78;77,53;89;93;6,351338549;7;76,54;0,012851;0,081923077
135;Pulpa de tomate;Gourmet;Envase 1 lt.;355;72;75;96;95,83;125;128;12,46309842;11;95,36;0,004936;0,130049373
136;Queso rallado;Artesano;Paquete 80 grs.;137;115;115;135;135,97;145;145;8,180912332;14;136,20;-0,001732;0,060168744
137;Queso rallado;Conaprole;Paquete 80 grs.;354;77;79;112;110,34;140;160;12,45458862;18;108,86;0,01359;0,112870844
138;Queso rallado;Milky;Paquete 80 grs.;155;87;91;104;103,67;130;130;6,145746961;9;104,43;-0,007289;0,05928025
310;Repelente aerosol;Off!;144 cm3;538;259;279,9;379;358,69;455;535;39,37034084;51,24;358,09;0,001669;0,109761789
314;Repelente aerosol;Júpiter;165 cm3;401;114,9;120;157,85;149,21;168;189;16,54875466;30;147,71;0,010111;0,110912086
315;Repelente aerosol;Off!;165 cm3;515;322;355;479;456,22;510;519;42,34111743;77;441,99;0,032183;0,092808779
308;Repelente crema;Off!;200 grs.;445;325;361;486;469,40;545;575;40,51795308;52;466,86;0,005431;0,086319482
312;Repelente crema;Off!;90 grs.;426;269;299;368;366,25;467,33;545;28,98785273;9;364,94;0,003589;0,079148131
313;Repelente crema;Júpiter;80 grs.;276;96;98;200;170,64;200;200;38,76600063;68;169,32;0,007814;0,227177854
309;Repelente spray;Off!;165 cm3;351;292;299;520;477,52;695;695;101,4820897;58;470,32;0,01531;0,212517359
139;Rueda Vacuna;Con Hueso - Sin Marca;1 kg;20;326;329,84;386;387,89;425;425;16,85049711;3;384,53;0,008734;0,043441511
140;Sal fina yodada fluorada;Sek;Paquete 500 grs.;215;41;41;64;59,51;75;78;7,152340395;11;59,37;0,002278;0,120192123
141;Sal fina yodada fluorada;Torrevieja;Paquete 500 grs.;75;41;41;57;55,30;57;57;4,562818833;0;52,82;0,04688;0,082509169
