id.presentacion;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.
308;CP;Repelente crema;Off!;200 grs.;523;325;374,9;463,00;478,005;580;580;47,37915481;55,0;465,7050;0,0264;0,0991
312;CP;Repelente crema;Off!;90 grs.;425;276;306;368,00;370,783;448,67;467,33;26,75758133;21,0;364,7020;0,0167;0,0722
313;CP;Repelente crema;Júpiter;80 grs.;256;98;98;200,00;167,61;200;200;40,71582209;71,0;167,6040;0;0,2429
309;CP;Repelente spray;Off!;165 cm3;384;305;319;535,00;517,962;601,35;659;57,29908905;69,0;491,3530;0,0542;0,1106
335;CP;Talco;Xanapie;180 grs.;276;87,9;89;106,00;104,518;112,165;129;4,314272406;1,0;104,5170;0;0,0413
336;CP;Talco;Xanapie;175 ml.;217;115;126,9;207,00;200,117;229;249;22,06124011;13,0;197,3810;0,0139;0,1102
337;CP;Talco;J&J;200 grs.;597;199;295;390,00;388,771;444,586;467;32,09928049;21,0;387,1210;0,0043;0,0826
342;CP;Tinta;Excellence;1 unidad;392;496,3;499;727,00;696,005;756;811;79,23983199;71,0;709,3550;-0,0188;0,1138
343;CP;Tinta;Issue;1 unidad;289;115;125;189,00;186,146;206;206;18,24455368;17,0;182,7720;0,0185;0,098
344;CP;Tinta;Garnier;1 unidad;588;210;249;317,00;315,744;379;429;29,52061938;12,0;315,5810;0,0005;0,0935
332;CP;Toallitas femeninas;Ladysoft;16 unidades;577;100;115;137,00;143,368;189;192;16,27003401;17,0;142,0710;0,0091;0,1135
333;CP;Toallitas femeninas;Siempre Libre;8 unidades;393;97;99;132,00;135,301;160;165;12,34349186;13,0;133,7830;0,0113;0,0912
257;FV;Banana Brasil;;1 kg.;188;56;59;71,00;73,249;78;93;4,805681664;9,0;69,0270;0,0612;0,0656
255;FV;Banana Ecuador;;1 kg.;61;75;75;114,90;110,935;160;160;20,82658974;20,0;113,2730;-0,0206;0,1877
238;FV;Lechuga Crespa;;1 unidad;223;38;45;69,00;65,325;100;100;9,603117419;14,1;74,5840;-0,1241;0,147
239;FV;Lechuga Mantecosa;;1 unidad;58;35;35;54,90;58,006;99;99;15,59882425;11,9;67,1850;-0,1366;0,2689
275;FV;Manzana Fuji;;1 kg.;111;109;110;159,00;161,437;172;172;12,16441004;10,0;154,8700;0,0424;0,0754
276;FV;Manzana Granny Smith;;1 kg.;141;83;83;129,00;142,014;189;195;21,47928057;30,0;137,5260;0,0326;0,1512
277;FV;Manzana Red Deliciosa;;1 kg.;228;87;89;139,00;142,036;189;199;11,32806164;5,0;138,6850;0,0242;0,0798
286;FV;Naranja Navel;;1 kg.;109;33;36;53,90;54,134;69;79;6,090923098;10,0;49,4530;0,0947;0,1125
287;FV;Naranja Valencia;;1 kg.;10;36;36;54,90;53,786;65;65;8,959984379;16,0;49,6340;0,0837;0,1666
244;FV;Papa Blanca;;1 kg.;222;69;79;108,90;105,316;119;129;8,37155302;10,0;105,8600;-0,0051;0,0795
245;FV;Papa Rosada;;1 kg.;147;60;60;99,00;98,255;114;115;8,372235448;3,1;98,2860;-0,0003;0,0852
253;FV;Tomate Americano;;1 kg.;225;98;99;179,00;162,27;261;280;53,03002014;96,0;165,2080;-0,0178;0,3268
254;FV;Tomate Perita;;1 kg.;228;120;129;245,00;209,21;314;339;42,18759867;45,1;223,0370;-0,062;0,2017
