ï»¿id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;188;15,5;17,9;24;25,69714742;35,5;35,5;5,595867483;11;26,87837109;-0,043947;0,217762205
22;Arvejas en conserva;CololÃ³;Lata 380 grs.;308;14,5;17,9;32;30,43722109;35;37,79;4,140368154;4;29,47829915;0,03253;0,136029769
23;Arvejas en conserva;Nidemar;Lata 300 grs.;192;8,5;9;21;19,7717378;23,01;29,99;4,184726202;5;19,76831974;0,000173;0,211651917
24;AzÃºcar blanco;Azucarlito;Paquete 1 kg.;132;30;34;38;37,46317585;46;50;3,581451573;5;37,89537726;-0,011405;0,095599252
25;AzÃºcar blanco;Bella UniÃ³n;Paquete 1 kg.;281;27,9;30;35;35,59062645;45;49;2,361277531;1;35,6952991;-0,002932;0,066345489
26;CafÃ© envasado (no instantÃ¡neo);Ãguila;Paquete 250 grs.;330;49;99;122;121,6738444;139;142;7,483813678;10,14;117,8375765;0,032556;0,061507169
27;CafÃ© envasado (no instantÃ¡neo);ChanÃ¡;Paquete 250 grs.;426;99;110;145;149,287083;162;170;9,457033408;15;147,7839831;0,010171;0,063347968
28;CafÃ© envasado (no instantÃ¡neo);Saint;Paquete 250 grs.;146;56;61;110;101,5076109;135;135;20,82108228;42;99,43180746;0,020877;0,205118435
29;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;174;133;199;299;287,0956746;345;373;27,2590466;36;275,1550136;0,043396;0,094947605
30;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;170;148;179;209;211,0372359;269;293;19,46629534;4;204,4006541;0,032468;0,092241046
31;Cerveza;Patricia;Botella 960 ml.;372;87;92;117;121,4935948;147;147;17,63357427;33;114,8716445;0,057647;0,14513995
32;Cerveza;Pilsen;Botella 960 ml.;374;75;85;103;103,0244074;109;111;5,488386397;5;100,9557158;0,020491;0,053272681
33;Cerveza;Zillertal;Botella 1 lt.;374;95;104;130,99;131,1313696;137;139;6,226352124;7;126,6676175;0,03524;0,04748179
34;ChampÃº;Fructis;Envase 350 ml.;352;115,95;162;233;225,3232367;289;307;22,83372515;31,77;217,6042871;0,035472;0,10133764
35;ChampÃº;Sedal;Envase 350 ml.;389;143;151;185;181,496301;215;215;14,44359218;13;181,3164171;0,000992;0,079580642
36;ChampÃº;Suave;Envase 930 ml.;249;99;99;135;138,1722433;177;179;22,46254004;24;134,3366703;0,028552;0,16256912
37;Chorizos mezcla;sueltos - Cattivelli  - Extra;1 kg.;182;261;309;349;345,1299148;384;404;12,24696368;10;343,9014089;0,003572;0,035485083
38;Chorizos mezcla;sueltos - Centenario - Extra;1 kg.;160;185;275;315;320,5367105;385;385;24,35892414;10;332,3515618;-0,035549;0,075994179
39;Chorizos mezcla;sueltos - La Familia - Hilo amarillo;1 kg.;157;195,33;217,04;252;249,694203;279;279;15,73654959;3;245,786785;0,015898;0,063023288
40;Cocoa;Copacabana;Envase 500 grs.;192;99;102;147;140,3194484;155;160;13,31915455;12;141,7574769;-0,010144;0,094920232
41;Cocoa;Vascolet;Envase 500 grs.;216;80;89;154;141,2712822;170;174;27,34621793;52,1;135,0977047;0,045697;0,193572377
42;Desodorante en aerosol;Axe Musk;Envase 113 grs.;393;83;96;119;124,2217746;145;149,5;10,1887019;19;122,1175402;0,017231;0,082020257
43;Desodorante en aerosol;Dove Original;Envase 100 grs.;435;113;129;168;163,703422;176;177;9,641188272;7;162,2514363;0,008949;0,058894238
44;Desodorante en aerosol;Rexona Active Emotion;Envase 105 grs.;393;78;106;135;130,1791753;150;163;10,4032821;14,1;130,8553892;-0,005168;0,079915102
45;Detergente para vajilla;Deterjane limÃ³n;Envase 1.250 lt.;306;49;59;89,74;84,36627101;109;115;13,78869489;12;84,34544543;0,000247;0,163438478
46;Detergente para vajilla;Hurra Nevex LimÃ³n;Envase 1.250 lt.;377;51;64;81;80,94846009;91;95;4,56224048;6;80,53874437;0,005087;0,056359818
47;Detergente para vajilla;Protergente limÃ³n;Envase 1 lt.;339;22,9;23;44;43,19346736;52;57;4,017753715;0,5;42,9664702;0,005283;0,093017624
48;Dulce de leche;Conaprole;Envase 1 kg.;276;143;148;164;167,3256861;189;199;7,139388181;7;167,9880179;-0,003943;0,042667616
49;Dulce de leche;Los Nietitos;Envase 1 kg.;286;106;109;129;129,2885026;162;166;15,86527662;27;126,4008078;0,022846;0,1227122
50;Dulce de leche;Manjar;Envase 1 kg.;282;74,9;106;128;126,9417033;145,5;146,5;7,198041642;5;127,5718417;-0,004939;0,056703522
51;Dulce de membrillo;Los Nietitos;Envase 400 grs.;320;42;44,9;54;52,87717009;60;60;2,855933081;2;52,94037862;-0,001194;0,054010702
